vendor_id,name,type,address,city,state,zip_code,phone,email,contact_person,tax_id,is_pap_vendor,pap_program,contract_start_date,contract_end_date,is_active,fraud_flag,created_at
VEN10012,Warner-Brooks Healthcare,Lab,9118 Justin Course,Port Calvin,IL,87351,464-795-3594,contact@warner-brookshealthcare.com,Aaron Rice,43-1433078,False,Kaiser PAP,2024-09-23,2028-03-18,True,False,2025-01-09
VEN10013,Peterson and Sons Supplies,DME Supplier,60815 Orr Isle Suite 310,Ryanview,NY,28456,+1-437-451-2610x9985,contact@petersonandsonssupplies.com,Dustin Martinez,21-3377527,True,,2023-02-07,2027-06-12,True,False,2021-08-26
VEN10014,Reeves-Norman Medical,Pharmacy,44927 Monica Lake,Christopherhaven,IL,64336,849-402-7672x5362,contact@reeves-normanmedical.com,Martin Bell,29-7128150,False,Kaiser PAP,2022-01-03,2027-12-28,True,False,2023-11-24
VEN10015,Thompson-Jackson Pharmacy,Medical Supply,20982 James Canyon Apt. 333,Colemanville,IL,94256,674-674-6344x016,contact@thompson-jacksonpharmacy.com,Erin Tyler,33-6657063,False,,2022-10-15,2027-09-24,True,False,2021-12-07
VEN10016,Michael-Gibson Pharmacy,Medical Supply,4036 Rebecca Knolls,Cunninghamchester,GA,69879,642.669.8002,contact@michael-gibsonpharmacy.com,Marisa Allen,60-7614231,True,Kaiser PAP,2024-08-24,2026-09-26,True,False,2023-05-12
VEN10017,Wheeler-Adkins Pharmacy,DME Supplier,516 Mills Burg Apt. 293,Brettbury,PA,47739,607.704.2135x2877,contact@wheeler-adkinspharmacy.com,Paul Alexander,42-8463096,True,Kaiser PAP,2022-10-04,2027-08-23,True,False,2021-11-11
VEN10018,Shepherd-Stephens Healthcare,Home Health,063 Kristin Crossroad Apt. 105,Jensenhaven,FL,89713,(350)282-9345,contact@shepherd-stephenshealthcare.com,Evan Jackson,47-8021257,True,,2024-11-27,2028-01-19,True,False,2023-11-27
VEN10019,"Donovan, Kelley and Porter Healthcare",Home Health,5656 Murphy Stravenue,Baileytown,FL,59447,(450)747-6596,"contact@donovan,kelleyandporterhealthcare.com",Sandra Wong,28-6756957,True,Kaiser PAP,2022-02-13,2026-07-27,True,False,2025-09-19
VEN10020,"Reyes, Norton and Lawson Healthcare",Transportation,640 Jones Causeway,West Katherineshire,PA,16617,+1-313-460-7436x342,"contact@reyes,nortonandlawsonhealthcare.com",Jason Velasquez,44-5867577,True,Kaiser PAP,2022-09-01,2027-10-04,True,False,2022-06-09
VEN10021,"Evans, Palmer and Miller Healthcare",Transportation,01474 Robert Lock Apt. 161,Gonzalezshire,TX,23149,(812)938-4906x5006,"contact@evans,palmerandmillerhealthcare.com",Jessica Fry,14-5540368,True,Kaiser PAP,2021-08-09,2028-02-08,True,False,2022-05-20
VEN10022,"Adams, Jones and White Medical",Transportation,8654 Jeremy Groves Apt. 632,Joannaton,IL,51542,(761)764-6342,"contact@adams,jonesandwhitemedical.com",Joshua Cabrera,64-3211397,True,Kaiser PAP,2026-04-17,2028-04-11,True,False,2025-10-05
VEN10023,Thomas-Solomon Medical,Pharmacy,980 Chelsea Mews,Johnland,FL,5466,6818203518,contact@thomas-solomonmedical.com,Jose Allen,69-4474186,True,Kaiser PAP,2022-08-28,2027-08-24,True,False,2023-12-10
VEN10024,Chang-Taylor Pharmacy,DME Supplier,110 John Drive Apt. 056,Lake Christophertown,FL,51937,+1-341-630-4593x95635,contact@chang-taylorpharmacy.com,Caitlin Lee,94-2604034,True,,2022-09-19,2027-12-12,True,False,2021-07-06
VEN10025,"Daniels, Berg and Murphy Supplies",Pharmacy,971 Graham Ways,Gonzalezville,FL,43765,254.654.2223x8387,"contact@daniels,bergandmurphysupplies.com",Terry Stephens,26-3623753,False,Kaiser PAP,2025-03-25,2027-12-05,True,False,2025-07-26
VEN10026,Thompson Group Medical,Pharmacy,199 Willie Dale Apt. 288,Brandonfort,FL,97314,(933)271-3263,contact@thompsongroupmedical.com,Tammy Lopez,70-5969946,True,Kaiser PAP,2024-12-11,2028-06-13,True,False,2022-10-27
VEN10027,Anderson-Carson Healthcare,Lab,14166 Reed Fall Suite 723,Millerside,GA,79214,4152777349,contact@anderson-carsonhealthcare.com,Hannah House,90-2761196,True,,2023-11-01,2026-08-03,True,False,2025-02-18
VEN10028,Willis PLC Healthcare,Medical Supply,15622 Kathryn Spurs,South Karen,NC,77335,+1-585-797-1306x67911,contact@willisplchealthcare.com,Jerry Rodriguez,86-3529840,True,Kaiser PAP,2024-09-16,2027-08-28,True,False,2025-05-28
VEN10029,Lucas-Nelson Healthcare,DME Supplier,840 Lewis Land Suite 892,New Zachary,CA,50664,001-874-278-7893x422,contact@lucas-nelsonhealthcare.com,Jessica Jones,12-5149919,True,Kaiser PAP,2024-07-14,2026-09-19,True,False,2026-03-01
VEN10030,House-Phillips Supplies,Home Health,0036 Estes Dam,Rebekahhaven,FL,72582,(283)373-2807,contact@house-phillipssupplies.com,Courtney Johnson,36-7288539,False,,2022-02-08,2026-12-05,True,False,2023-02-01
VEN10031,Scott LLC Supplies,Lab,321 Michael Causeway,West Catherinestad,IL,3658,+1-922-410-5513,contact@scottllcsupplies.com,Stephen Smith,34-6789719,True,Kaiser PAP,2025-11-09,2027-07-08,True,False,2024-04-04
VEN10032,Miller-Stone Supplies,Home Health,257 Ronald Islands Suite 328,East Patricia,NY,40023,5167227751,contact@miller-stonesupplies.com,Maria Pearson,25-9560421,True,,2022-08-27,2027-05-17,True,False,2022-04-26
VEN10033,"Espinoza, Tran and Lopez Medical",Medical Supply,899 Paul Via,Jasminefurt,TX,12532,001-481-281-7555x834,"contact@espinoza,tranandlopezmedical.com",Angela Kelley,34-7204137,True,,2023-01-29,2027-07-20,True,False,2022-11-09
VEN10034,Taylor-Ray Medical,Pharmacy,8941 Rachel Parkway Apt. 849,Port Sally,NC,36709,845.668.5171,contact@taylor-raymedical.com,Diana Sanchez,55-1889497,True,Kaiser PAP,2023-05-02,2028-03-31,True,False,2024-01-17
VEN10035,Davis Group Medical,DME Supplier,14873 Smith Knoll Apt. 440,Port Scott,NC,20043,5158373616,contact@davisgroupmedical.com,Robert Gray,28-3215702,False,Kaiser PAP,2025-06-11,2026-10-18,True,False,2025-03-24
VEN10036,Garcia Group Healthcare,Pharmacy,005 Timothy Loaf,Christinaview,NC,21867,001-617-212-6962,contact@garciagrouphealthcare.com,Brittany Nelson,38-1614749,False,Kaiser PAP,2023-08-25,2026-09-06,True,False,2022-05-17
VEN10037,Kelley PLC Healthcare,DME Supplier,80628 Mary Orchard,Port Ryan,MI,76853,(540)572-5764x512,contact@kelleyplchealthcare.com,William Taylor,48-8028178,True,Kaiser PAP,2025-11-25,2027-09-14,True,False,2023-04-30
VEN10038,"Zimmerman, Wright and Costa Pharmacy",Home Health,0763 Kimberly Hills Apt. 105,Port Jeffrey,GA,99065,874-717-8320,"contact@zimmerman,wrightandcostapharmacy.com",Arthur Butler,15-7859806,True,Kaiser PAP,2024-01-20,2027-08-27,True,False,2025-11-25
VEN10039,Merritt-Daniels Medical,Transportation,0537 Angela Throughway,Zavalaside,GA,40200,688-869-0042,contact@merritt-danielsmedical.com,William Rogers,89-5032699,True,Kaiser PAP,2021-11-19,2028-03-09,True,False,2023-06-28
VEN10040,Owen Group Pharmacy,Medical Supply,1310 Richard Bypass,Brianshire,GA,64467,204.236.2861x061,contact@owengrouppharmacy.com,Stephen Green,52-6113688,False,Kaiser PAP,2025-05-20,2028-06-17,True,False,2022-02-11
VEN10041,"Ramirez, Brewer and Johnson Medical",Transportation,41390 Mccarthy Centers,Cassidybury,FL,90392,+1-674-991-9750x81672,"contact@ramirez,brewerandjohnsonmedical.com",Mary Anderson,44-4561908,True,Kaiser PAP,2021-07-06,2028-03-04,True,False,2024-09-29
VEN10042,"Henderson, Hernandez and Barajas Healthcare",Home Health,79157 Anthony Haven,Port Mary,TX,10571,544.268.5843,"contact@henderson,hernandezandbarajashealthcare.com",Rhonda Cain,60-2032833,False,Kaiser PAP,2025-02-17,2027-07-24,True,False,2024-06-28
VEN10043,Johnston-Lee Pharmacy,Transportation,39568 Jones Path Suite 714,Nicholasville,NY,1797,+1-888-605-9917x8825,contact@johnston-leepharmacy.com,Lori Duarte,77-8769065,False,,2022-06-06,2027-10-13,True,False,2025-09-26
VEN10044,"Cervantes, Garcia and Banks Healthcare",DME Supplier,06821 Woodward Motorway,Lake Michael,GA,34036,001-957-368-2655x6534,"contact@cervantes,garciaandbankshealthcare.com",Jennifer Richard,43-5056847,False,,2021-11-17,2027-07-16,True,False,2023-05-06
VEN10045,Thomas-Richards Medical,Medical Supply,227 Ronald Lock Suite 293,North Victoria,TX,58494,(229)860-2223x243,contact@thomas-richardsmedical.com,John Reed,19-1295224,False,Kaiser PAP,2023-02-12,2027-02-08,True,False,2023-12-22
VEN10046,Anderson PLC Supplies,Lab,990 Amber Mountain,Lake Cody,IL,31544,001-309-948-7114,contact@andersonplcsupplies.com,Kerri Gallagher,25-5542017,True,Kaiser PAP,2023-11-26,2026-11-08,True,False,2024-11-27
VEN10047,"Lynch, Pena and Collins Healthcare",Transportation,3676 Daniel Club,Lake Heather,FL,57122,001-590-415-0440x907,"contact@lynch,penaandcollinshealthcare.com",Matthew White,86-3059548,False,,2026-04-19,2027-10-05,True,False,2021-11-07
VEN10048,Bryant-Ortiz Pharmacy,Medical Supply,62003 Coleman Ways,New Deborah,IL,76557,9129617653,contact@bryant-ortizpharmacy.com,Kendra Howell,21-2986886,False,Kaiser PAP,2022-05-06,2027-01-18,True,False,2025-01-17
VEN10049,Saunders-Johnson Medical,Home Health,1281 Mendoza Turnpike,Lake Kristina,NC,70001,(874)273-3929x8078,contact@saunders-johnsonmedical.com,John Watkins,46-1991641,True,,2023-05-24,2027-08-31,True,False,2024-02-02
VEN10050,Crawford-Hardin Supplies,Pharmacy,0975 Amy Ford,Brittanymouth,OH,89197,+1-650-973-2110,contact@crawford-hardinsupplies.com,Angelica Shaffer,64-6499739,True,,2023-08-12,2027-04-25,True,False,2022-07-03
VEN10051,Long and Sons Supplies,Medical Supply,6286 Young Roads,Vegaview,NY,58731,926-226-2320,contact@longandsonssupplies.com,Robert Scott,74-9472148,False,Kaiser PAP,2021-12-02,2027-02-08,True,False,2024-04-03
VEN10052,"Williams, Miller and Smith Medical",Medical Supply,257 Vargas Plains Apt. 098,East Crystalstad,MI,67056,(617)974-6052x635,"contact@williams,millerandsmithmedical.com",Tiffany Davis,54-7102106,True,,2025-06-23,2026-10-02,True,False,2022-01-24
VEN10053,"Bowers, Harris and Bruce Medical",Pharmacy,19449 Christian Inlet,Leonardchester,OH,98353,001-316-488-5283x034,"contact@bowers,harrisandbrucemedical.com",Veronica Miller,55-7927220,False,,2023-02-18,2026-08-21,True,False,2026-06-03
VEN10054,Snyder-Thomas Healthcare,Home Health,125 Ayala Ramp Apt. 482,Gibbsland,MI,83346,967.655.6713x7088,contact@snyder-thomashealthcare.com,Johnny Nguyen,22-1276198,True,Kaiser PAP,2026-01-01,2026-09-09,True,False,2025-03-19
VEN10055,"Sandoval, Hendrix and Shaffer Pharmacy",Pharmacy,427 Booth Stravenue,Bishopside,MI,29167,001-346-420-4745x3832,"contact@sandoval,hendrixandshafferpharmacy.com",Stephen Brown,24-9057194,False,Kaiser PAP,2024-10-14,2028-01-04,True,False,2025-10-11
VEN10056,Lawson Group Medical,Lab,51998 Kim Roads,Bishopmouth,FL,72230,264-980-2608,contact@lawsongroupmedical.com,Eric Gardner,17-3382673,True,,2024-05-25,2027-09-27,True,False,2023-06-07
VEN10057,Henson Inc Pharmacy,Home Health,64907 Solomon Spring,Lake Peter,IL,71613,+1-666-568-4684x7220,contact@hensonincpharmacy.com,Samantha Reeves,89-6838180,True,Kaiser PAP,2024-10-21,2028-03-09,True,False,2024-02-12
VEN10058,Sosa Inc Healthcare,DME Supplier,97564 Rios Fort,Port Megan,CA,43524,918-832-2987x9676,contact@sosainchealthcare.com,Hannah Rosales,12-3670896,True,Kaiser PAP,2024-04-26,2027-10-10,True,False,2024-06-16
VEN10059,"Chambers, Ellis and Gregory Healthcare",DME Supplier,797 Dean Underpass,Shortshire,IL,60954,(669)215-4186x5433,"contact@chambers,ellisandgregoryhealthcare.com",Ronald Whitaker,94-8069689,True,,2024-11-24,2028-03-14,True,False,2025-11-06
VEN10060,Moore LLC Pharmacy,Transportation,926 White Spurs Suite 030,Timberg,IL,84503,8689492635,contact@moorellcpharmacy.com,Kevin Robinson,97-9072788,True,,2023-10-05,2026-10-06,True,False,2022-11-19
VEN10061,Valencia-Pierce Supplies,DME Supplier,40030 Ashley Pike Suite 997,West Timothy,GA,50670,278.617.6945x76859,contact@valencia-piercesupplies.com,Vanessa Allen,68-6390897,True,Kaiser PAP,2023-05-06,2026-11-01,True,False,2023-05-31
VEN10062,"Sellers, Obrien and Miller Healthcare",Home Health,5662 Kevin Plain Apt. 346,West Ryanstad,MI,62086,(866)858-9011,"contact@sellers,obrienandmillerhealthcare.com",Tracy Nolan,28-6941841,False,Kaiser PAP,2022-01-27,2027-03-04,True,False,2024-08-19
VEN10063,Wilson-Collins Supplies,Home Health,6637 Rivers Knoll Suite 382,Leonbury,GA,28344,001-342-812-0056x555,contact@wilson-collinssupplies.com,Eric Warner,21-5549591,True,Kaiser PAP,2023-09-08,2027-12-28,True,False,2025-11-20
VEN10064,"Harrison, Bailey and West Supplies",Transportation,69760 Adams Manor,Lake Martha,IL,15966,(760)928-2010x97860,"contact@harrison,baileyandwestsupplies.com",Michelle Kidd,71-2448254,True,,2023-04-08,2027-12-10,True,False,2022-07-06
VEN10065,"Alvarez, Johnson and Cameron Supplies",Pharmacy,4934 Susan Squares,Port Angelaport,MI,53954,990-880-6898x08270,"contact@alvarez,johnsonandcameronsupplies.com",Thomas Richardson,49-9132100,True,Kaiser PAP,2023-07-24,2028-04-07,True,False,2026-05-29
VEN10066,Rodriguez-Lopez Supplies,Medical Supply,866 Rodriguez Vista Apt. 465,Rogersburgh,IL,779,+1-742-800-7880x94361,contact@rodriguez-lopezsupplies.com,Theodore Anderson MD,48-2577175,True,Kaiser PAP,2025-10-01,2027-12-23,True,False,2023-03-21
VEN10067,Smith-Sloan Healthcare,Transportation,03422 Powers Manor Apt. 152,Richardton,NC,93695,(742)716-6757x481,contact@smith-sloanhealthcare.com,Elizabeth Adams,72-3525940,True,Kaiser PAP,2023-09-05,2026-09-21,True,False,2022-08-06
VEN10068,Johnson-Melton Medical,Transportation,507 Alexander Meadow,New Patrick,NC,85393,238.628.7880,contact@johnson-meltonmedical.com,Bryan Jackson,43-8632516,True,,2021-10-01,2028-06-19,True,False,2021-09-15
VEN10069,Paul Group Pharmacy,DME Supplier,2085 Aaron Street,Haileyland,FL,17979,3218027804,contact@paulgrouppharmacy.com,Michael Cole,12-2103333,False,Kaiser PAP,2022-03-12,2027-06-20,True,False,2021-07-20
VEN10070,"Morton, Anderson and Lamb Pharmacy",Pharmacy,1375 Davidson Mission Apt. 061,Victoriamouth,OH,43723,(249)385-7308,"contact@morton,andersonandlambpharmacy.com",Craig Bennett,54-3165649,True,Kaiser PAP,2025-02-16,2028-05-23,True,False,2026-05-13
VEN10071,Underwood-Wright Pharmacy,Medical Supply,362 Duane Gateway Apt. 377,Michelleberg,CA,71518,802-936-0080x908,contact@underwood-wrightpharmacy.com,Rachel Leblanc,79-6630543,True,Kaiser PAP,2021-12-25,2028-04-28,True,False,2026-02-14
VEN10072,Norton LLC Supplies,Lab,2955 Kim Mountain,Jesusberg,PA,20031,985.522.8921x09312,contact@nortonllcsupplies.com,Natalie Bonilla,59-6576184,True,,2026-03-12,2027-01-28,True,False,2025-11-13
VEN10073,"Cantrell, Lewis and Garcia Pharmacy",Medical Supply,3702 Estrada Lodge Apt. 175,Pittsville,NC,73430,(532)433-0080x12189,"contact@cantrell,lewisandgarciapharmacy.com",Timothy Burnett,44-6999063,False,Kaiser PAP,2022-06-13,2027-03-11,True,False,2022-09-23
VEN10074,"Mccoy, Hubbard and Ford Medical",Lab,80678 Weaver Ville Apt. 268,Shawstad,IL,99685,+1-260-450-3850,"contact@mccoy,hubbardandfordmedical.com",Christopher Johnson,83-4520522,True,,2025-07-30,2027-04-16,True,False,2024-08-24
VEN10075,Pearson-Mcgee Healthcare,Transportation,0696 David Hollow Suite 139,South Harrymouth,NY,24885,464-456-4197,contact@pearson-mcgeehealthcare.com,Matthew Anderson MD,49-9494317,False,,2024-07-07,2027-07-14,True,False,2026-01-22
VEN10076,Peterson-Crosby Pharmacy,Transportation,588 Roberts Coves Suite 719,Lake Jeremyview,IL,43667,001-739-613-0979x277,contact@peterson-crosbypharmacy.com,Frederick Hudson,37-2721607,True,Kaiser PAP,2024-12-04,2027-09-04,True,False,2025-04-08
VEN10077,Duke Group Healthcare,Pharmacy,515 Jason Motorway Suite 062,Laurahaven,CA,66124,991.896.6501x0096,contact@dukegrouphealthcare.com,Nicholas Johnson,38-2676407,True,Kaiser PAP,2023-11-04,2026-12-30,True,False,2026-05-11
VEN10078,Webster-Smith Healthcare,DME Supplier,663 Thompson Shores,Bernardbury,GA,26653,001-524-874-6402x4782,contact@webster-smithhealthcare.com,Zachary Contreras,43-9040615,False,Kaiser PAP,2025-02-14,2026-10-11,True,False,2026-04-02
VEN10079,Salazar LLC Supplies,Pharmacy,947 Thomas Camp Apt. 940,East Meganshire,IL,57867,918.585.2605x66403,contact@salazarllcsupplies.com,Zachary Anderson,57-5330831,False,Kaiser PAP,2022-01-10,2027-07-18,True,False,2025-09-28
VEN10080,Andrews-Vaughn Healthcare,Lab,367 Mcdaniel Garden,Lake Jennifershire,CA,94453,930-726-1035x2465,contact@andrews-vaughnhealthcare.com,Kayla Richmond,32-9869268,False,Kaiser PAP,2025-05-18,2028-03-22,True,False,2025-09-14
VEN10081,"Ryan, Shaw and Roy Supplies",Medical Supply,080 Rodriguez Ramp Suite 810,Lake Amyton,NC,1583,(216)243-7963x54429,"contact@ryan,shawandroysupplies.com",Robert Warren,43-8696009,False,,2023-05-19,2027-08-19,True,False,2021-11-10
VEN10082,"Martin, Murphy and Garrett Pharmacy",Transportation,88541 Martin Island Apt. 290,Karenshire,CA,26943,514.436.1603x1445,"contact@martin,murphyandgarrettpharmacy.com",Matthew Dillon,86-2397983,True,Kaiser PAP,2025-01-18,2026-07-12,True,False,2025-04-19
VEN10083,Pittman-Roberts Supplies,Lab,348 Anderson Mall Suite 996,Port Howardbury,CA,39731,624-811-4257,contact@pittman-robertssupplies.com,Stephanie Hamilton,44-9253373,False,,2022-04-01,2026-10-11,True,False,2024-07-01
VEN10084,Stein Group Medical,Lab,30255 Rachel Squares Suite 544,New Phillip,TX,90609,+1-660-655-1609x798,contact@steingroupmedical.com,Jessica Peterson,92-9689562,False,Kaiser PAP,2026-01-17,2027-01-26,True,False,2023-02-16
VEN10085,Avila Group Pharmacy,Medical Supply,64255 Kelly Drives Suite 140,Andrewchester,TX,81359,369.900.3168,contact@avilagrouppharmacy.com,Tracy Burns,57-4152110,True,Kaiser PAP,2024-03-05,2026-12-17,True,False,2026-04-13
VEN10086,Vega Ltd Supplies,Transportation,634 Perry Island Suite 725,Caseyville,IL,63014,8933157101,contact@vegaltdsupplies.com,Adam Walker,16-9282287,False,,2023-08-02,2026-11-11,True,False,2023-08-06
VEN10087,"Carrillo, Young and Parrish Medical",DME Supplier,393 Allen Terrace,East Hannah,NY,38193,001-244-256-6367x0041,"contact@carrillo,youngandparrishmedical.com",Kristin Hernandez,80-1904920,False,Kaiser PAP,2026-01-25,2027-12-05,True,False,2022-06-30
VEN10088,Hayden PLC Pharmacy,Pharmacy,2805 Katrina Springs,New Michael,NY,8018,756-478-1064,contact@haydenplcpharmacy.com,Paul Williams,64-8156808,False,,2023-08-25,2028-03-20,True,False,2022-03-03
VEN10089,Taylor-Miller Medical,Home Health,12221 Johnson Plains,Christopherfort,GA,47351,958.665.9201,contact@taylor-millermedical.com,Harry Smith,58-6447898,True,Kaiser PAP,2024-10-08,2027-12-17,True,False,2022-09-27
VEN10090,Freeman Group Supplies,Transportation,2884 Moore Islands,South Robertborough,NC,84192,282.578.3364x6840,contact@freemangroupsupplies.com,Julian Jackson,29-9778895,False,,2022-05-09,2026-09-15,True,False,2022-03-21
VEN10091,Mcdonald Group Healthcare,Pharmacy,5660 Maria Creek,East Joshuastad,NC,11243,001-888-815-0271x57781,contact@mcdonaldgrouphealthcare.com,Morgan Thomas,39-5954983,True,Kaiser PAP,2024-09-09,2027-11-16,True,False,2025-08-05
VEN10092,Pearson-Gonzalez Healthcare,DME Supplier,061 Murray Divide Apt. 223,Schmidtstad,NY,50941,860.750.3606,contact@pearson-gonzalezhealthcare.com,Luis Perry,69-5391640,True,Kaiser PAP,2022-01-16,2026-07-30,True,False,2021-09-26
VEN10093,Hays Ltd Supplies,Medical Supply,926 Angela Causeway Suite 672,Pamelachester,GA,91133,444-472-1542x42808,contact@haysltdsupplies.com,Philip Townsend,46-3780359,False,,2023-10-07,2028-01-26,True,False,2023-07-12
VEN10094,Foley-Gutierrez Healthcare,DME Supplier,83752 Velez Fall Apt. 557,Joyceton,TX,804,663.668.1190,contact@foley-gutierrezhealthcare.com,Rodney Johnson,17-1963379,True,Kaiser PAP,2026-04-10,2028-05-09,True,False,2025-07-24
VEN10095,"Brown, Cooper and Moore Pharmacy",Lab,6537 Maria Landing,Judyfort,NY,89130,001-362-211-0760x4846,"contact@brown,cooperandmoorepharmacy.com",Karen Barker,94-9899469,False,Kaiser PAP,2022-12-08,2027-09-19,True,False,2024-11-10
VEN10096,Cuevas and Sons Pharmacy,Home Health,0493 Vasquez Stravenue Suite 810,Hamptonside,PA,33771,400.339.0673x580,contact@cuevasandsonspharmacy.com,Kathryn Chambers,50-5890124,False,,2026-01-21,2028-05-18,True,False,2022-11-11
VEN10097,"Walker, Edwards and Cox Medical",Pharmacy,382 Wright Rapids Suite 167,Jonesmouth,PA,86694,+1-909-793-6773,"contact@walker,edwardsandcoxmedical.com",Jennifer Brown,45-8259991,True,Kaiser PAP,2023-09-20,2026-10-14,True,False,2025-09-23
VEN10098,Turner-Williams Supplies,DME Supplier,1416 Young Bypass,Sweeneychester,OH,99644,+1-757-694-0174x0091,contact@turner-williamssupplies.com,Kathryn Parker,11-2178325,True,Kaiser PAP,2021-12-26,2027-05-09,True,False,2025-11-30
VEN10099,Martin Inc Healthcare,Transportation,10677 Deborah Forge Apt. 903,North Lindsey,FL,15133,+1-374-979-9824,contact@martininchealthcare.com,Stacey Gonzalez,33-1765292,False,Kaiser PAP,2024-07-28,2026-12-16,True,False,2024-06-25
VEN10100,Thomas and Sons Supplies,Medical Supply,5423 Jason Lodge,Angelaside,IL,19746,725.485.4207,contact@thomasandsonssupplies.com,Andrew Mendez,52-8704865,True,Kaiser PAP,2023-05-29,2028-06-12,True,False,2026-05-31
VEN10101,Castaneda-Fowler Healthcare,Lab,4367 Michael Fork Suite 075,Jenniferhaven,PA,85785,+1-717-968-5141x68277,contact@castaneda-fowlerhealthcare.com,Lindsay Lawson,64-5493533,True,Kaiser PAP,2022-02-07,2026-09-13,True,False,2025-12-21
VEN10102,Grant LLC Supplies,Pharmacy,4604 Watts Ford,Suzannemouth,OH,36378,+1-744-469-2495,contact@grantllcsupplies.com,Ryan Martin,45-8911284,True,Kaiser PAP,2023-11-24,2026-09-28,True,False,2021-07-04
VEN10103,"Johnson, Rodriguez and Scott Medical",Pharmacy,65492 Long Pass,South Karenville,FL,84124,(538)374-9940x79145,"contact@johnson,rodriguezandscottmedical.com",Denise Williams,88-7105958,True,Kaiser PAP,2025-06-10,2026-11-28,True,False,2026-06-30
VEN10104,Jennings LLC Medical,DME Supplier,2493 Kristine Mission,Clarkside,OH,5114,(417)819-7199,contact@jenningsllcmedical.com,Destiny Fisher,53-7751786,True,,2022-05-01,2026-10-04,True,False,2024-09-07
VEN10105,"Simon, Snyder and Brown Healthcare",DME Supplier,82930 Wiggins View,Timothyfurt,PA,63668,947.746.3880,"contact@simon,snyderandbrownhealthcare.com",Michael Mccullough,46-4933927,True,Kaiser PAP,2022-12-23,2027-06-01,True,False,2022-02-19
VEN10106,Jenkins-Johnson Supplies,Home Health,57161 Martin Mountains,Lake Karen,TX,66859,001-770-645-6039x6568,contact@jenkins-johnsonsupplies.com,Cory Potter,66-4292189,True,Kaiser PAP,2023-10-10,2027-01-10,True,False,2026-01-03
VEN10107,King LLC Pharmacy,Transportation,15307 Collins Cape,Jamesstad,GA,62435,(215)507-3516x49973,contact@kingllcpharmacy.com,Tony Trujillo,55-1603249,False,,2021-10-24,2027-01-01,True,False,2024-07-29
